  0.127394D+03  0.829124D+00  0.268002D+00
  0.127448D+03  0.841199D+00  0.271955D+00
  0.127503D+03  0.853540D+00  0.275997D+00
  0.127557D+03  0.866156D+00  0.280129D+00
  0.127611D+03  0.879055D+00  0.284353D+00
  0.127666D+03  0.892244D+00  0.288674D+00
  0.127720D+03  0.905735D+00  0.293093D+00
  0.127774D+03  0.919533D+00  0.297614D+00
  0.127829D+03  0.933651D+00  0.302240D+00
  0.127883D+03  0.948096D+00  0.306974D+00
  0.127937D+03  0.962879D+00  0.311819D+00
  0.127992D+03  0.978012D+00  0.316779D+00
  0.128046D+03  0.993503D+00  0.321857D+00
  0.128100D+03  0.100937D+01  0.327057D+00
  0.128155D+03  0.102561D+01  0.332382D+00
  0.128209D+03  0.104225D+01  0.337838D+00
  0.128263D+03  0.105930D+01  0.343428D+00
  0.128318D+03  0.107676D+01  0.349157D+00
  0.128372D+03  0.109466D+01  0.355028D+00
  0.128426D+03  0.111301D+01  0.361047D+00
  0.128481D+03  0.113182D+01  0.367218D+00
  0.128535D+03  0.115111D+01  0.373547D+00
  0.128589D+03  0.117090D+01  0.380038D+00
  0.128644D+03  0.119119D+01  0.386698D+00
  0.128698D+03  0.121202D+01  0.393532D+00
  0.128753D+03  0.123339D+01  0.400546D+00
  0.128807D+03  0.125532D+01  0.407747D+00
  0.128861D+03  0.127784D+01  0.415139D+00
  0.128916D+03  0.130097D+01  0.422732D+00
  0.128970D+03  0.132472D+01  0.430531D+00
  0.129024D+03  0.134912D+01  0.438543D+00
  0.129079D+03  0.137419D+01  0.446777D+00
  0.129133D+03  0.139996D+01  0.455240D+00
  0.129187D+03  0.142645D+01  0.463942D+00
  0.129242D+03  0.145369D+01  0.472889D+00
  0.129296D+03  0.148170D+01  0.482092D+00
  0.129350D+03  0.151051D+01  0.491560D+00
  0.129405D+03  0.154016D+01  0.501303D+00
  0.129459D+03  0.157068D+01  0.511331D+00
  0.129513D+03  0.160209D+01  0.521656D+00
  0.129568D+03  0.163443D+01  0.532288D+00
  0.129622D+03  0.166774D+01  0.543239D+00
  0.129676D+03  0.170206D+01  0.554521D+00
  0.129731D+03  0.173742D+01  0.566149D+00
  0.129785D+03  0.177387D+01  0.578134D+00
  0.129840D+03  0.181144D+01  0.590492D+00
  0.129894D+03  0.185019D+01  0.603237D+00
  0.129948D+03  0.189016D+01  0.616385D+00
  0.130003D+03  0.193140D+01  0.629953D+00
  0.130057D+03  0.197396D+01  0.643957D+00
  0.130111D+03  0.201790D+01  0.658415D+00
  0.130166D+03  0.206327D+01  0.673346D+00
  0.130220D+03  0.211013D+01  0.688770D+00
  0.130274D+03  0.215855D+01  0.704708D+00
  0.130329D+03  0.220859D+01  0.721181D+00
  0.130383D+03  0.226032D+01  0.738213D+00
  0.130437D+03  0.231381D+01  0.755826D+00
  0.130492D+03  0.236915D+01  0.774047D+00
  0.130546D+03  0.242639D+01  0.792902D+00
  0.130600D+03  0.248564D+01  0.812417D+00
  0.130655D+03  0.254698D+01  0.832624D+00
  0.130709D+03  0.261051D+01  0.853551D+00
  0.130763D+03  0.267631D+01  0.875232D+00
  0.130818D+03  0.274449D+01  0.897699D+00
  0.130872D+03  0.281516D+01  0.920989D+00
  0.130926D+03  0.288843D+01  0.945139D+00
  0.130981D+03  0.296441D+01  0.970187D+00
  0.131035D+03  0.304324D+01  0.996175D+00
  0.131090D+03  0.312504D+01  0.102315D+01
  0.131144D+03  0.320995D+01  0.105114D+01
  0.131198D+03  0.329811D+01  0.108022D+01
  0.131253D+03  0.338967D+01  0.111042D+01
  0.131307D+03  0.348479D+01  0.114180D+01
  0.131361D+03  0.358364D+01  0.117441D+01
  0.131416D+03  0.368638D+01  0.120831D+01
  0.131470D+03  0.379320D+01  0.124356D+01
  0.131524D+03  0.390429D+01  0.128022D+01
  0.131579D+03  0.401984D+01  0.131836D+01
  0.131633D+03  0.414007D+01  0.135805D+01
  0.131687D+03  0.426519D+01  0.139936D+01
  0.131742D+03  0.439542D+01  0.144236D+01
  0.131796D+03  0.453099D+01  0.148713D+01
  0.131850D+03  0.467215D+01  0.153375D+01
  0.131905D+03  0.481915D+01  0.158231D+01
  0.131959D+03  0.497224D+01  0.163289D+01
  0.132013D+03  0.513170D+01  0.168558D+01
  0.132068D+03  0.529779D+01  0.174046D+01
  0.132122D+03  0.547080D+01  0.179764D+01
  0.132177D+03  0.565100D+01  0.185721D+01
  0.132231D+03  0.583868D+01  0.191926D+01
  0.132285D+03  0.603414D+01  0.198389D+01
  0.132340D+03  0.623765D+01  0.205119D+01
  0.132394D+03  0.644950D+01  0.212126D+01
  0.132448D+03  0.666996D+01  0.219419D+01
  0.132503D+03  0.689930D+01  0.227006D+01
  0.132557D+03  0.713776D+01  0.234897D+01
  0.132611D+03  0.738556D+01  0.243098D+01
  0.132666D+03  0.764289D+01  0.251617D+01
  0.132720D+03  0.790993D+01  0.260458D+01
  0.132774D+03  0.818677D+01  0.269625D+01
  0.132829D+03  0.847347D+01  0.279121D+01
  0.132883D+03  0.877003D+01  0.288945D+01
  0.132937D+03  0.907635D+01  0.299095D+01
  0.132992D+03  0.939226D+01  0.309564D+01
  0.133046D+03  0.971746D+01  0.320344D+01
  0.133100D+03  0.100515D+02  0.331421D+01
  0.133155D+03  0.103940D+02  0.342777D+01
  0.133209D+03  0.107440D+02  0.354388D+01
  0.133263D+03  0.111008D+02  0.366226D+01
  0.133318D+03  0.114632D+02  0.378256D+01
  0.133372D+03  0.118300D+02  0.390434D+01
  0.133427D+03  0.121997D+02  0.402712D+01
  0.133481D+03  0.125705D+02  0.415032D+01
  0.133535D+03  0.129404D+02  0.427329D+01
  0.133590D+03  0.133073D+02  0.439529D+01
  0.133644D+03  0.136687D+02  0.451553D+01
  0.133698D+03  0.140220D+02  0.463312D+01
  0.133753D+03  0.143642D+02  0.474711D+01
  0.133807D+03  0.146925D+02  0.485652D+01
  0.133861D+03  0.150035D+02  0.496030D+01
  0.133916D+03  0.152943D+02  0.505740D+01
  0.133970D+03  0.155616D+02  0.514677D+01
  0.134024D+03  0.158023D+02  0.522738D+01
  0.134079D+03  0.160135D+02  0.529827D+01
  0.134133D+03  0.161925D+02  0.535853D+01
  0.134187D+03  0.163370D+02  0.540738D+01
  0.134242D+03  0.164450D+02  0.544416D+01
  0.134296D+03  0.165149D+02  0.546837D+01
  0.134350D+03  0.165459D+02  0.547968D+01
  0.134405D+03  0.165374D+02  0.547792D+01
  0.134459D+03  0.164896D+02  0.546314D+01
  0.134514D+03  0.164031D+02  0.543555D+01
  0.134568D+03  0.162793D+02  0.539554D+01
  0.134622D+03  0.161197D+02  0.534369D+01
  0.134677D+03  0.159266D+02  0.528069D+01
  0.134731D+03  0.157024D+02  0.520736D+01
  0.134785D+03  0.154500D+02  0.512465D+01
  0.134840D+03  0.151723D+02  0.503352D+01
  0.134894D+03  0.148726D+02  0.493503D+01
  0.134948D+03  0.145539D+02  0.483021D+01
  0.135003D+03  0.142195D+02  0.472013D+01
  0.135057D+03  0.138723D+02  0.460579D+01
  0.135111D+03  0.135155D+02  0.448817D+01
  0.135166D+03  0.131516D+02  0.436820D+01
  0.135220D+03  0.127834D+02  0.424672D+01
  0.135274D+03  0.124132D+02  0.412451D+01
  0.135329D+03  0.120430D+02  0.400228D+01
  0.135383D+03  0.116747D+02  0.388064D+01
  0.135437D+03  0.113100D+02  0.376014D+01
  0.135492D+03  0.109502D+02  0.364125D+01
  0.135546D+03  0.105967D+02  0.352436D+01
  0.135600D+03  0.102503D+02  0.340981D+01
  0.135655D+03  0.991183D+01  0.329786D+01
  0.135709D+03  0.958198D+01  0.318873D+01
  0.135764D+03  0.926123D+01  0.308259D+01
  0.135818D+03  0.894993D+01  0.297955D+01
  0.135872D+03  0.864832D+01  0.287970D+01
  0.135927D+03  0.835653D+01  0.278308D+01
  0.135981D+03  0.807462D+01  0.268971D+01
  0.136035D+03  0.780256D+01  0.259959D+01
  0.136090D+03  0.754029D+01  0.251269D+01
  0.136144D+03  0.728765D+01  0.242898D+01
  0.136198D+03  0.704448D+01  0.234839D+01
  0.136253D+03  0.681057D+01  0.227085D+01
  0.136307D+03  0.658568D+01  0.219629D+01
  0.136361D+03  0.636957D+01  0.212463D+01
  0.136416D+03  0.616195D+01  0.205578D+01
  0.136470D+03  0.596256D+01  0.198964D+01
  0.136524D+03  0.577110D+01  0.192613D+01
  0.136579D+03  0.558730D+01  0.186515D+01
  0.136633D+03  0.541086D+01  0.180660D+01
  0.136687D+03  0.524150D+01  0.175039D+01
  0.136742D+03  0.507894D+01  0.169643D+01
  0.136796D+03  0.492289D+01  0.164463D+01
  0.136851D+03  0.477310D+01  0.159490D+01
  0.136905D+03  0.462929D+01  0.154715D+01
  0.136959D+03  0.449122D+01  0.150130D+01
  0.137014D+03  0.435863D+01  0.145726D+01
  0.137068D+03  0.423128D+01  0.141496D+01
  0.137122D+03  0.410896D+01  0.137432D+01
  0.137177D+03  0.399143D+01  0.133527D+01
  0.137231D+03  0.387848D+01  0.129774D+01
  0.137285D+03  0.376992D+01  0.126166D+01
