 -0.189380D+01 -0.617900D+00 -0.395332D+11
 -0.189342D+01 -0.617806D+00 -0.395332D+11
 -0.189303D+01 -0.617712D+00 -0.395333D+11
 -0.189265D+01 -0.617618D+00 -0.395333D+11
 -0.189227D+01 -0.617523D+00 -0.395334D+11
 -0.189189D+01 -0.617429D+00 -0.395335D+11
 -0.189150D+01 -0.617335D+00 -0.395336D+11
 -0.189112D+01 -0.617240D+00 -0.395336D+11
 -0.189074D+01 -0.617145D+00 -0.395337D+11
 -0.189036D+01 -0.617051D+00 -0.395338D+11
 -0.188998D+01 -0.616956D+00 -0.395339D+11
 -0.188959D+01 -0.616861D+00 -0.395339D+11
 -0.188921D+01 -0.616766D+00 -0.395340D+11
 -0.188883D+01 -0.616671D+00 -0.395341D+11
 -0.188845D+01 -0.616575D+00 -0.395341D+11
 -0.188806D+01 -0.616480D+00 -0.395342D+11
 -0.188768D+01 -0.616384D+00 -0.395343D+11
 -0.188730D+01 -0.616289D+00 -0.395343D+11
 -0.188692D+01 -0.616193D+00 -0.395344D+11
 -0.188653D+01 -0.616097D+00 -0.395345D+11
 -0.188615D+01 -0.616001D+00 -0.395345D+11
 -0.188577D+01 -0.615905D+00 -0.395346D+11
 -0.188539D+01 -0.615809D+00 -0.395347D+11
 -0.188500D+01 -0.615713D+00 -0.395348D+11
 -0.188462D+01 -0.615616D+00 -0.395348D+11
 -0.188424D+01 -0.615520D+00 -0.395349D+11
 -0.188386D+01 -0.615423D+00 -0.395350D+11
 -0.188348D+01 -0.615326D+00 -0.395350D+11
 -0.188309D+01 -0.615230D+00 -0.395351D+11
 -0.188271D+01 -0.615133D+00 -0.395352D+11
 -0.188233D+01 -0.615036D+00 -0.395352D+11
 -0.188195D+01 -0.614939D+00 -0.395353D+11
 -0.188156D+01 -0.614841D+00 -0.395354D+11
 -0.188118D+01 -0.614744D+00 -0.395354D+11
 -0.188080D+01 -0.614646D+00 -0.395355D+11
 -0.188042D+01 -0.614549D+00 -0.395356D+11
 -0.188003D+01 -0.614451D+00 -0.395357D+11
 -0.187965D+01 -0.614353D+00 -0.395357D+11
 -0.187927D+01 -0.614255D+00 -0.395358D+11
 -0.187889D+01 -0.614157D+00 -0.395359D+11
 -0.187850D+01 -0.614059D+00 -0.395359D+11
 -0.187812D+01 -0.613961D+00 -0.395360D+11
 -0.187774D+01 -0.613863D+00 -0.395361D+11
 -0.187736D+01 -0.613764D+00 -0.395361D+11
 -0.187698D+01 -0.613666D+00 -0.395362D+11
 -0.187659D+01 -0.613567D+00 -0.395363D+11
 -0.187621D+01 -0.613468D+00 -0.395364D+11
 -0.187583D+01 -0.613369D+00 -0.395364D+11
 -0.187545D+01 -0.613270D+00 -0.395365D+11
