 -0.188042D+01  0.138683D+00
 -0.188003D+01  0.138781D+00
 -0.187965D+01  0.138880D+00
 -0.187927D+01  0.138979D+00
 -0.187889D+01  0.139078D+00
 -0.187850D+01  0.139177D+00
 -0.187812D+01  0.139276D+00
 -0.187774D+01  0.139376D+00
 -0.187736D+01  0.139475D+00
 -0.187698D+01  0.139575D+00
 -0.187659D+01  0.139674D+00
 -0.187621D+01  0.139774D+00
 -0.187583D+01  0.139874D+00
 -0.187545D+01  0.139974D+00
 -0.187506D+01  0.140074D+00
 -0.187468D+01  0.140175D+00
 -0.187430D+01  0.140275D+00
 -0.187392D+01  0.140375D+00
 -0.187353D+01  0.140476D+00
 -0.187315D+01  0.140577D+00
 -0.187277D+01  0.140678D+00
 -0.187239D+01  0.140778D+00
 -0.187200D+01  0.140879D+00
 -0.187162D+01  0.140981D+00
 -0.187124D+01  0.141082D+00
 -0.187086D+01  0.141183D+00
 -0.187048D+01  0.141285D+00
 -0.187009D+01  0.141386D+00
 -0.186971D+01  0.141488D+00
 -0.186933D+01  0.141590D+00
 -0.186895D+01  0.141692D+00
 -0.186856D+01  0.141794D+00
 -0.186818D+01  0.141896D+00
 -0.186780D+01  0.141999D+00
 -0.186742D+01  0.142101D+00
 -0.186703D+01  0.142204D+00
 -0.186665D+01  0.142306D+00
 -0.186627D+01  0.142409D+00
 -0.186589D+01  0.142512D+00
 -0.186550D+01  0.142615D+00
 -0.186512D+01  0.142718D+00
 -0.186474D+01  0.142821D+00
 -0.186436D+01  0.142925D+00
 -0.186398D+01  0.143028D+00
 -0.186359D+01  0.143132D+00
 -0.186321D+01  0.143236D+00
 -0.186283D+01  0.143339D+00
 -0.186245D+01  0.143443D+00
 -0.186206D+01  0.143548D+00
 -0.186168D+01  0.143652D+00
 -0.186130D+01  0.143756D+00
 -0.186092D+01  0.143860D+00
 -0.186053D+01  0.143965D+00
 -0.186015D+01  0.144070D+00
 -0.185977D+01  0.144175D+00
 -0.185939D+01  0.144279D+00
 -0.185900D+01  0.144385D+00
 -0.185862D+01  0.144490D+00
 -0.185824D+01  0.144595D+00
 -0.185786D+01  0.144700D+00
 -0.185748D+01  0.144806D+00
 -0.185709D+01  0.144912D+00
 -0.185671D+01  0.145017D+00
 -0.185633D+01  0.145123D+00
 -0.185595D+01  0.145229D+00
 -0.185556D+01  0.145335D+00
 -0.185518D+01  0.145442D+00
 -0.185480D+01  0.145548D+00
 -0.185442D+01  0.145655D+00
 -0.185403D+01  0.145761D+00
 -0.185365D+01  0.145868D+00
 -0.185327D+01  0.145975D+00
 -0.185289D+01  0.146082D+00
 -0.185250D+01  0.146189D+00
 -0.185212D+01  0.146296D+00
 -0.185174D+01  0.146403D+00
 -0.185136D+01  0.146511D+00
 -0.185098D+01  0.146619D+00
 -0.185059D+01  0.146726D+00
 -0.185021D+01  0.146834D+00
 -0.184983D+01  0.146942D+00
 -0.184945D+01  0.147050D+00
 -0.184906D+01  0.147159D+00
 -0.184868D+01  0.147267D+00
 -0.184830D+01  0.147375D+00
 -0.184792D+01  0.147484D+00
 -0.184753D+01  0.147593D+00
 -0.184715D+01  0.147702D+00
 -0.184677D+01  0.147811D+00
 -0.184639D+01  0.147920D+00
 -0.184600D+01  0.148029D+00
 -0.184562D+01  0.148138D+00
 -0.184524D+01  0.148248D+00
 -0.184486D+01  0.148358D+00
 -0.184447D+01  0.148467D+00
 -0.184409D+01  0.148577D+00
 -0.184371D+01  0.148687D+00
 -0.184333D+01  0.148797D+00
 -0.184295D+01  0.148908D+00
 -0.184256D+01  0.149018D+00
 -0.184218D+01  0.149129D+00
 -0.184180D+01  0.149239D+00
 -0.184142D+01  0.149350D+00
 -0.184103D+01  0.149461D+00
 -0.184065D+01  0.149572D+00
 -0.184027D+01  0.149683D+00
 -0.183989D+01  0.149794D+00
 -0.183950D+01  0.149906D+00
 -0.183912D+01  0.150018D+00
 -0.183874D+01  0.150129D+00
 -0.183836D+01  0.150241D+00
 -0.183797D+01  0.150353D+00
 -0.183759D+01  0.150465D+00
 -0.183721D+01  0.150577D+00
 -0.183683D+01  0.150690D+00
 -0.183645D+01  0.150802D+00
 -0.183606D+01  0.150915D+00
 -0.183568D+01  0.151028D+00
 -0.183530D+01  0.151140D+00
 -0.183492D+01  0.151253D+00
 -0.183453D+01  0.151367D+00
 -0.183415D+01  0.151480D+00
 -0.183377D+01  0.151593D+00
 -0.183339D+01  0.151707D+00
 -0.183300D+01  0.151821D+00
 -0.183262D+01  0.151934D+00
 -0.183224D+01  0.152048D+00
 -0.183186D+01  0.152162D+00
 -0.183147D+01  0.152277D+00
 -0.183109D+01  0.152391D+00
 -0.183071D+01  0.152506D+00
 -0.183033D+01  0.152620D+00
 -0.182995D+01  0.152735D+00
 -0.182956D+01  0.152850D+00
 -0.182918D+01  0.152965D+00
 -0.182880D+01  0.153080D+00
 -0.182842D+01  0.153195D+00
 -0.182803D+01  0.153311D+00
 -0.182765D+01  0.153426D+00
 -0.182727D+01  0.153542D+00
 -0.182689D+01  0.153658D+00
