 X0/lambda deviation_0_X deviation_0_Y deviation_0_Z
  8.583333333333333E-02 -1.313504735343774E+00 -1.342493892070832E+00 -1.842110173356660E-01
  8.666666666666667E-02 -1.294682633410816E+00 -1.323671790137875E+00 -1.842110173356660E-01
  8.749999999999999E-02 -1.275860531477877E+00 -1.304849688204936E+00 -1.842110173356660E-01
  8.833333333333333E-02 -1.263312463522579E+00 -1.286027586271979E+00 -1.842110173356660E-01
  8.916666666666667E-02 -1.244490361589621E+00 -1.267205484339021E+00 -1.842110173356660E-01
  9.000000000000000E-02 -1.225668259656683E+00 -1.248383382406083E+00 -1.842110173356660E-01
  9.083333333333334E-02 -1.213120191701365E+00 -1.235835314450784E+00 -1.842110173356660E-01
  9.166666666666666E-02 -1.194298089768427E+00 -1.217013212517826E+00 -1.842110173356660E-01
  9.250000000000000E-02 -1.175475987835469E+00 -1.198191110584888E+00 -1.842110173356660E-01
  9.333333333333334E-02 -1.162927919880170E+00 -1.179369008651930E+00 -1.842110173356660E-01
  9.416666666666666E-02 -1.144105817947232E+00 -1.160546906718973E+00 -1.779369833580166E-01
  9.500000000000000E-02 -1.125283716014274E+00 -1.141724804786034E+00 -1.779369833580166E-01
  9.583333333333334E-02 -1.106461614081317E+00 -1.122902702853077E+00 -1.779369833580166E-01
  9.666666666666666E-02 -1.087639512148378E+00 -1.104080600920138E+00 -1.779369833580166E-01
  9.750000000000000E-02 -1.075091444193079E+00 -1.085258498987181E+00 -1.779369833580166E-01
  9.833333333333333E-02 -1.056269342260122E+00 -1.066436397054223E+00 -1.779369833580166E-01
  9.916666666666667E-02 -1.037447240327183E+00 -1.047614295121285E+00 -1.779369833580166E-01
  1.000000000000000E-01 -1.018625138394226E+00 -1.028792193188327E+00 -1.779369833580166E-01
  1.008333333333333E-01 -9.998030364612687E-01 -1.009970091255388E+00 -1.779369833580166E-01
  1.016666666666667E-01 -9.809809345283299E-01 -9.911479893224312E-01 -1.779369833580166E-01
  1.025000000000000E-01 -9.621588325953725E-01 -9.723258873894738E-01 -1.779369833580166E-01
  1.033333333333333E-01 -9.433367306624337E-01 -9.535037854565350E-01 -1.779369833580166E-01
  1.041666666666667E-01 -9.245146287294764E-01 -9.346816835235777E-01 -1.716629493803626E-01
  1.050000000000000E-01 -9.056925267965190E-01 -9.158595815906388E-01 -1.716629493803626E-01
  1.058333333333333E-01 -8.868704248635804E-01 -8.970374796576815E-01 -1.716629493803626E-01
  1.066666666666667E-01 -8.680483229306230E-01 -8.782153777247242E-01 -1.716629493803626E-01
  1.075000000000000E-01 -8.492262209976841E-01 -8.593932757917855E-01 -1.716629493803626E-01
  1.083333333333333E-01 -8.304041190647269E-01 -8.405711738588281E-01 -1.716629493803626E-01
  1.091666666666667E-01 -8.115820171317880E-01 -8.217490719258893E-01 -1.716629493803626E-01
  1.100000000000000E-01 -7.927599151988307E-01 -8.029269699929320E-01 -1.716629493803626E-01
  1.108333333333333E-01 -7.739378132658733E-01 -7.841048680599931E-01 -1.716629493803626E-01
  1.116666666666667E-01 -7.551157113329345E-01 -7.652827661270359E-01 -1.716629493803626E-01
  1.125000000000000E-01 -7.362936093999772E-01 -7.464606641940785E-01 -1.653889154027132E-01
  1.133333333333333E-01 -7.174715074670384E-01 -7.276385622611397E-01 -1.653889154027132E-01
  1.141666666666667E-01 -6.986494055340811E-01 -7.088164603281824E-01 -1.653889154027132E-01
  1.150000000000000E-01 -6.798273036011238E-01 -6.899943583952436E-01 -1.653889154027132E-01
  1.158333333333333E-01 -6.610052016681849E-01 -6.711722564622862E-01 -1.653889154027132E-01
  1.166666666666667E-01 -6.359090657575875E-01 -6.460761205516888E-01 -1.653889154027132E-01
  1.175000000000000E-01 -6.170869638246302E-01 -6.272540186187315E-01 -1.653889154027132E-01
  1.183333333333333E-01 -5.982648618916728E-01 -6.084319166857927E-01 -1.591148814250639E-01
  1.191666666666667E-01 -5.794427599587341E-01 -5.896098147528355E-01 -1.591148814250639E-01
  1.200000000000000E-01 -5.606206580257768E-01 -5.707877128198781E-01 -1.591148814250639E-01
  1.208333333333333E-01 -5.417985560928379E-01 -5.519656108869392E-01 -1.591148814250639E-01
  1.216666666666667E-01 -5.167024201822406E-01 -5.331435089539819E-01 -1.591148814250639E-01
  1.225000000000000E-01 -4.978803182492832E-01 -5.143214070210431E-01 -1.591148814250639E-01
  1.233333333333333E-01 -4.790582163163259E-01 -4.954993050880858E-01 -1.591148814250639E-01
  1.241666666666667E-01 -4.602361143833871E-01 -4.766772031551470E-01 -1.528408474474146E-01
  1.250000000000000E-01 -4.414140124504297E-01 -4.578551012221896E-01 -1.528408474474146E-01
  1.258333333333333E-01 -4.163178765398323E-01 -4.390329992892323E-01 -1.528408474474146E-01
  1.266666666666667E-01 -3.974957746068750E-01 -4.202108973562935E-01 -1.528408474474146E-01
  1.275000000000000E-01 -3.786736726739361E-01 -4.013887954233362E-01 -1.528408474474146E-01
  1.283333333333333E-01 -3.598515707409788E-01 -3.825666934903974E-01 -1.528408474474146E-01
  1.291666666666667E-01 -3.347554348303814E-01 -3.637445915574400E-01 -1.465668134697652E-01
