 X0/lambda deviation_CS_X deviation_CS_Y deviation_CS_Z
  5.333333333333334E-02  3.524433895967877E-01  8.878798734541067E-02  1.113947473207206E+01
  5.416666666666667E-02  3.580166670085004E-01  9.527320832820491E-02  1.110353381410678E+01
  5.500000000000000E-02  3.634987677199814E-01  1.016792503949429E-01  1.106709693152128E+01
  5.583333333333333E-02  3.688904512343518E-01  1.142808106940567E-01  1.103016692455644E+01
  5.666666666666666E-02  3.741924868919914E-01  1.205304929968223E-01  1.099274667772629E+01
  5.750000000000000E-02  3.794056537922940E-01  1.267030114938682E-01  1.095483911985072E+01
  5.833333333333333E-02  3.845307407145164E-01  1.390730887915335E-01  1.091644722408819E+01
  5.916666666666667E-02  3.895685460374586E-01  1.450933539077628E-01  1.087757400796803E+01
  6.000000000000000E-02  3.945198776582366E-01  1.510385460655943E-01  1.083822253342243E+01
  6.083333333333334E-02  3.993855529099257E-01  1.631834126871840E-01  1.079839590681818E+01
  6.166666666666667E-02  4.104404324559162E-01  1.689806073865870E-01  1.075809727898779E+01
  6.250000000000000E-02  4.151372842949770E-01  1.809789277386263E-01  1.071732984526043E+01
  6.333333333333334E-02  4.197509875417919E-01  1.866310433816954E-01  1.067609684549204E+01
  6.416666666666666E-02  4.242823964300594E-01  1.984857677623953E-01  1.063440156409517E+01
  6.500000000000000E-02  4.287323742027353E-01  2.039957862366884E-01  1.059224733006809E+01
  6.583333333333333E-02  4.393758270014976E-01  2.157099278127938E-01  1.054963751702313E+01
  6.666666666666667E-02  4.436655678666959E-01  2.210808932506924E-01  1.050657554321453E+01
  6.750000000000000E-02  4.478765205131640E-01  2.326575268032801E-01  1.045679083758773E+01
  6.833333333333333E-02  4.582836173058631E-01  2.441665782918827E-01  1.041283497571601E+01
  6.916666666666667E-02  4.623396972349333E-01  2.493348049574303E-01  1.036843747595992E+01
  7.000000000000001E-02  4.663197096883190E-01  2.607110733108535E-01  1.032360193540207E+01
  7.083333333333333E-02  4.764986124248555E-01  2.657481212061893E-01  1.027833199589283E+01
  7.166666666666667E-02  4.803292695463003E-01  2.769948295775290E-01  1.023263134407241E+01
  7.250000000000000E-02  4.903606892449304E-01  2.881779845105861E-01  1.018650371139194E+01
  7.333333333333333E-02  4.940457518854643E-01  2.992984130673975E-01  1.013995287413323E+01
  7.416666666666667E-02  5.039334817286328E-01  3.040829152445733E-01  1.009298265342731E+01
  7.500000000000000E-02  5.074767750112475E-01  3.150803997964595E-01  1.004559691527151E+01
  7.583333333333334E-02  5.172246716678632E-01  3.260176802812900E-01  9.997799570545224E+00
  7.666666666666666E-02  5.206300834091793E-01  3.368956108827371E-01  9.949594575024033E+00
  7.750000000000000E-02  5.302420654419601E-01  3.477150523428558E-01  9.900985929392299E+00
  7.833333333333334E-02  5.397875785231684E-01  3.522028378938778E-01  9.851977679254052E+00
  7.916666666666666E-02  5.429935907901653E-01  3.629079090779294E-01  9.802573915142146E+00
  8.000000000000000E-02  5.524091795895038E-01  3.735571117890872E-01  9.752778772525469E+00
  8.083333333333333E-02  5.617613275064595E-01  3.841513320917062E-01  9.702596431814346E+00
  8.166666666666667E-02  5.647770241924150E-01  3.946914621493052E-01  9.652031118363784E+00
  8.250000000000000E-02  5.740053681914109E-01  4.051784001307597E-01  9.601087102474695E+00
  8.333333333333333E-02  5.831733629671011E-01  4.156130501155859E-01  9.549768699392800E+00
  8.416666666666667E-02  5.922820527053141E-01  4.259963219986880E-01  9.498080269305305E+00
  8.500000000000001E-02  5.950584542499747E-01  4.363291313943459E-01  9.446026217335092E+00
  8.583333333333333E-02  6.040516929041647E-01  4.466123995394610E-01  9.393610993532366E+00
  8.666666666666667E-02  6.129887984538726E-01  4.568470531964703E-01  9.340839092863790E+00
  8.749999999999999E-02  6.218708409674412E-01  4.670340245550721E-01  9.287715055198721E+00
  8.833333333333333E-02  6.306988967060929E-01  4.771742511339540E-01  9.234243465292712E+00
  8.916666666666667E-02  6.394740480112968E-01  4.872686756812784E-01  9.180428952767985E+00
  9.000000000000000E-02  6.481973831913580E-01  4.973182460749641E-01  9.126276192090844E+00
  9.083333333333334E-02  6.568699964075081E-01  5.073239152222463E-01  9.071789902545884E+00
  9.166666666666666E-02  6.654929875588822E-01  5.172866409585679E-01  9.010700814229219E+00
  9.250000000000000E-02  6.740674621672001E-01  5.272073859459542E-01  8.955561803926482E+00
  9.333333333333334E-02  6.825945312604660E-01  5.370871175706812E-01  8.900103691210825E+00
  9.416666666666666E-02  6.910753112561855E-01  5.469268078405938E-01  8.844331374313557E+00
  9.500000000000000E-02  6.995109238437131E-01  5.567274332817560E-01  8.788249796102882E+00
  9.583333333333334E-02  7.079024958660237E-01  5.664899748343045E-01  8.731863944036077E+00
  9.666666666666666E-02  7.162511592010040E-01  5.762154177483209E-01  8.675178850107780E+00
  9.750000000000000E-02  7.245580506417235E-01  5.859047514785183E-01  8.618199590793756E+00
  9.833333333333333E-02  7.328243117764841E-01  5.955589695789089E-01  8.560931286990462E+00
  9.916666666666667E-02  7.473251228456016E-01  6.114531035744271E-01  8.503379103949936E+00
  1.000000000000000E-01  7.555135667094670E-01  6.210400869437388E-01  8.445548251209924E+00
  1.008333333333333E-01  7.636648325924372E-01  6.305949588780840E-01  8.387443982519246E+00
  1.016666666666667E-01  7.717800800498020E-01  6.401187282633266E-01  8.329071595758014E+00
  1.025000000000000E-01  7.798604728221954E-01  6.496124075495017E-01  8.270436432852687E+00
  1.033333333333333E-01  7.941812126896154E-01  6.590770126423897E-01  8.211543879685744E+00
  1.041666666666667E-01  8.021954034365967E-01  6.685135627947753E-01  8.152399365999869E+00
  1.050000000000000E-01  8.101782545933567E-01  6.841971144746782E-01  8.093008365296267E+00
  1.058333333333333E-01  8.181309453998004E-01  6.935806253449966E-01  8.033376394727302E+00
  1.066666666666667E-01  8.323286926351985E-01  7.029391580193277E-01  7.973509014982882E+00
  1.075000000000000E-01  8.402246145810434E-01  7.122737440407941E-01  7.913411830170656E+00
  1.083333333333333E-01  8.480939347603619E-01  7.215854177487014E-01  7.853090487689751E+00
  1.091666666666667E-01  8.622118798773950E-01  7.308752161673141E-01  7.792550678097921E+00
  1.100000000000000E-01  8.700315777568902E-01  7.464182128716415E-01  7.731798134971752E+00
  1.108333333333333E-01  8.778282610818945E-01  7.556673819649306E-01  7.670838634759972E+00
  1.116666666666667E-01  8.918771653320819E-01  7.648978018320788E-01  7.609677996629432E+00
  1.125000000000000E-01  8.996314267218234E-01  7.741105191163854E-01  7.548322082303646E+00
  1.133333333333333E-01  9.136403199142290E-01  7.833065825839850E-01  7.486776795893793E+00
  1.141666666666667E-01  9.213569860701091E-01  7.924870430106046E-01  7.425048083721747E+00
  1.150000000000000E-01  9.353307045389911E-01  8.079269870454775E-01  7.363141934135076E+00
  1.158333333333333E-01  9.430146209070601E-01  8.170794011867619E-01  7.301064377313779E+00
  1.166666666666667E-01  9.506839847100731E-01  8.262193755332663E-01  7.238821485068475E+00
  1.175000000000000E-01  9.646140473687588E-01  8.353479677592571E-01  7.176419370629888E+00
  1.183333333333333E-01  9.722579601244227E-01  8.444662369774086E-01  7.107590154451671E+00
  1.191666666666667E-01  9.861650117504521E-01  8.535752436237629E-01  7.044888099892335E+00
  1.200000000000000E-01  9.937883565987014E-01  8.689500833201438E-01  6.982045409111216E+00
  1.208333333333333E-01  1.007677286288359E+00  8.780437508481853E-01  6.919068358731294E+00
  1.216666666666667E-01  1.021558991729360E+00  8.871313438994264E-01  6.855963265603867E+00
  1.225000000000000E-01  1.029160664922278E+00  8.962139270490443E-01  6.792736486540639E+00
  1.233333333333333E-01  1.043031600757859E+00  9.052925656173406E-01  6.729394418035555E+00
  1.241666666666667E-01  1.050624959039935E+00  9.143683255535713E-01  6.665943495975825E+00
  1.250000000000000E-01  1.064490036172756E+00  9.234422733197379E-01  6.602390195342224E+00
  1.258333333333333E-01  1.072079993205758E+00  9.387895097515014E-01  6.538741029898067E+00
  1.266666666666667E-01  1.085944127520584E+00  9.478630340311912E-01  6.475002551866882E+00
  1.275000000000000E-01  1.093535600875369E+00  9.569379474368258E-01  6.411181351598436E+00
  1.283333333333333E-01  1.107403711091465E+00  9.660153173147520E-01  6.347284057222671E+00
  1.291666666666667E-01  1.121275654075181E+00  9.750962109402612E-01  6.283317334291686E+00
  1.300000000000000E-01  1.128878625615801E+00  9.841816954007520E-01  6.219287885409044E+00
  1.308333333333333E-01  1.142761923183570E+00  9.932728374784465E-01  6.155202449846436E+00
  1.316666666666667E-01  1.150378707951210E+00  1.002370703533387E+00  6.091067803147403E+00
